customer_id,customer_tier,delay_hours,past_issues,order_value,communication_preference,customer_tenure_months,action_applied,churn_probability,churn_label
1,Gold,5.613975600108958,1,3932.293250384978,sms,43,email,0.13180862710733693,1
2,Bronze,4.858001423904054,0,1486.1811759979332,email,18,refund,0.01,0
3,Silver,2.325258642450805,1,1145.8817378233475,sms,19,do_nothing,0.2181209248098062,1
4,Silver,11.21549336770317,2,3032.924339723032,push,30,email,0.9532456113578053,1
5,Gold,7.769465407778204,1,3521.7286488121586,push,24,refund,0.01,0
6,Gold,24.092238772092355,0,3063.0323329921234,email,42,do_nothing,0.13665173062180158,0
7,Platinum,0.39163681309000303,0,3454.2979202631345,push,47,do_nothing,0.01,0
8,Bronze,12.389443522994354,0,1019.85805538485,email,5,do_nothing,0.25634991174213306,0
9,Silver,17.273753503494927,0,2642.0811704784833,push,29,do_nothing,0.14417465361669546,0
10,Silver,17.099752147497014,0,2106.583898398436,push,2,refund,0.01,0
11,Platinum,26.066470504114797,3,4880.158773080549,email,58,refund,0.028395773612553594,0
12,Bronze,15.669131737688282,0,723.3077038076034,sms,16,credit,0.027802320093162046,0
13,Bronze,31.541455209551025,0,1842.3239137696537,email,5,do_nothing,0.665005397676408,0
14,Gold,4.85340627246458,0,4738.3798734127495,sms,25,credit,0.01,0
15,Gold,8.395040440276894,0,4925.732824329483,sms,50,refund,0.01,0
16,Gold,0.17015666457719747,1,4212.057234772101,email,50,refund,0.01,0
17,Gold,0.0837828500474908,0,841.9920980738418,email,29,refund,0.01,0
18,Silver,3.2952415852718504,0,3026.0976275459316,email,14,credit,0.01,0
19,Silver,1.2750936457266906,0,2300.553467017102,sms,17,credit,0.01,1
20,Gold,3.6166891911626706,0,4129.036554629307,sms,9,do_nothing,0.030944146654502656,0
21,Silver,2.338220225209402,0,747.6090600709998,sms,23,email,0.013711692330856007,0
22,Platinum,0.3472154719915173,1,1387.0793824011594,sms,24,email,0.12756141474779797,0
23,Gold,28.80292366222186,1,2701.3777980018326,email,7,credit,0.13147125703940435,0
24,Gold,0.09908553400289766,0,1209.4144832652214,email,40,refund,0.01,0
25,Silver,15.98540852455062,1,3617.218142124342,sms,1,credit,0.06269324739717858,0
26,Bronze,1.9805886402127435,0,4193.452495129092,push,31,refund,0.01,0
